datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2019-08-23 02:00:00,BINANCE:BTCUSDT,10099.9,10445.0,10019.79,10389.55,27550.336173,,,,,10156.99
2019-08-24 02:00:00,BINANCE:BTCUSDT,10388.16,10419.42,9890.0,10134.35,27692.456844,,,,,10244.29
2019-08-25 02:00:00,BINANCE:BTCUSDT,10134.61,10333.0,9906.97,10142.69,26271.657398,,,,,10168.59
2019-08-26 02:00:00,BINANCE:BTCUSDT,10142.69,10604.0,10137.93,10372.25,41687.511599,,,,,9986.39
2019-08-27 02:00:00,BINANCE:BTCUSDT,10373.6,10391.08,10051.08,10185.05,28402.775383,,,,,10028.87
2019-08-28 02:00:00,BINANCE:BTCUSDT,10185.69,10299.0,9601.01,9721.0,42110.555375,,,,,9702.25
2019-08-29 02:00:00,BINANCE:BTCUSDT,9721.0,9724.0,9320.0,9498.44,35532.69491,,,,,8493.14
2019-08-30 02:00:00,BINANCE:BTCUSDT,9499.01,9696.0,9350.41,9584.54,26834.318104,,,,,8430.05
2019-08-31 02:00:00,BINANCE:BTCUSDT,9582.76,9684.51,9420.75,9587.47,17130.290074,9962.0,,,,8063.73
2019-09-01 02:00:00,BINANCE:BTCUSDT,9588.74,9830.0,9520.0,9724.98,19545.404843,9962.0,,,,8177.91
2019-09-02 02:00:00,BINANCE:BTCUSDT,9723.59,10450.0,9712.5,10340.0,44740.248093,9962.0,,,,8198.81
2019-09-03 02:00:00,BINANCE:BTCUSDT,10340.0,10773.0,10272.0,10615.28,47998.376781,10046.5,,,,8043.82
2019-09-04 02:00:00,BINANCE:BTCUSDT,10611.85,10799.0,10369.89,10567.02,43943.889026,10059.5,,,,8289.34
2019-09-05 02:00:00,BINANCE:BTCUSDT,10565.92,10900.0,10450.0,10564.49,33970.960639,10110.0,,,,8292.44
2019-09-06 02:00:00,BINANCE:BTCUSDT,10563.13,10905.87,10150.0,10298.73,58799.640959,10112.935000000001,,,,8359.94
2019-09-07 02:00:00,BINANCE:BTCUSDT,10298.71,10558.0,10288.57,10455.88,27637.877392,10128.14,,,,8223.96
2019-09-08 02:00:00,BINANCE:BTCUSDT,10455.9,10592.5,10208.0,10381.18,23984.672018,10163.310000000001,,,,8137.13
2019-09-09 02:00:00,BINANCE:BTCUSDT,10381.24,10480.0,10068.5,10303.12,39835.727608,10212.935000000001,,,,8126.19
2019-09-10 02:00:00,BINANCE:BTCUSDT,10302.58,10384.99,9953.0,10098.15,28915.412225,10309.185000000001,,,,7854.25
2019-09-11 02:00:00,BINANCE:BTCUSDT,10098.19,10293.0,9880.0,10158.33,31953.824562,10392.935000000001,,,,8190.09
2019-09-12 02:00:00,BINANCE:BTCUSDT,10158.75,10448.81,10040.0,10415.01,34511.162755,10392.935000000001,,,,8168.39
2019-09-13 02:00:00,BINANCE:BTCUSDT,10415.01,10439.0,10153.0,10342.06,30280.339776,10392.935000000001,,,,8560.74
2019-09-14 02:00:00,BINANCE:BTCUSDT,10344.13,10419.99,10222.33,10335.02,23621.533519,10392.935000000001,,,,8558.03
2019-09-15 02:00:00,BINANCE:BTCUSDT,10332.81,10360.0,10252.15,10302.01,18047.654013,10236.25,,,,8258.5
2019-09-16 02:00:00,BINANCE:BTCUSDT,10303.34,10355.0,10078.0,10251.31,28971.401657,10236.25,,,,8300.09
2019-09-17 02:00:00,BINANCE:BTCUSDT,10249.68,10275.0,10128.01,10187.82,22914.324563,10180.0,10112.935000000001,,,8275.01
