datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,fundingRate
2022-11-02 13:00:00,BINANCE:ETHUSDT,1555.95,1567.13,1546.02,1558.5,85136.0941,,,,,1568.29,5.813e-05
2022-11-02 17:00:00,BINANCE:ETHUSDT,1558.51,1621.68,1524.0,1535.92,440529.6148,,,,,1587.5,5.813e-05
2022-11-02 21:00:00,BINANCE:ETHUSDT,1535.93,1537.51,1502.32,1518.34,134079.8235,,,,,1550.01,5.813e-05
2022-11-03 01:00:00,BINANCE:ETHUSDT,1518.33,1556.19,1515.17,1547.35,110124.6747,,,,,1580.0,-5.456333333333333e-05
2022-11-03 05:00:00,BINANCE:ETHUSDT,1547.35,1559.01,1542.0,1544.04,73267.5526,,,,,1592.03,-5.456333333333333e-05
2022-11-03 09:00:00,BINANCE:ETHUSDT,1544.04,1556.74,1523.1,1531.95,98072.0357,,,,,1600.52,-5.456333333333333e-05
2022-11-03 13:00:00,BINANCE:ETHUSDT,1531.95,1556.0,1522.05,1542.46,162656.0111,,,,,1568.1,-5.456333333333333e-05
2022-11-03 17:00:00,BINANCE:ETHUSDT,1542.47,1549.14,1538.34,1544.13,48207.5261,,,,,1507.07,-5.456333333333333e-05
2022-11-03 21:00:00,BINANCE:ETHUSDT,1544.14,1544.42,1524.11,1531.01,67875.0811,1562.0,,,,1492.0,-5.456333333333333e-05
2022-11-04 01:00:00,BINANCE:ETHUSDT,1531.01,1549.89,1528.4,1548.92,68392.1825,1562.0,,,,1476.87,6.897e-05
2022-11-04 05:00:00,BINANCE:ETHUSDT,1548.93,1588.19,1546.53,1587.43,122215.2313,1545.255,,,,1462.48,6.897e-05
2022-11-04 09:00:00,BINANCE:ETHUSDT,1587.43,1600.28,1575.3,1577.24,117513.4247,1557.725,,,,1315.39,6.897e-05
2022-11-04 13:00:00,BINANCE:ETHUSDT,1577.24,1680.0,1556.2,1624.97,368850.4447,1601.025,,,,1334.77,6.897e-05
2022-11-04 17:00:00,BINANCE:ETHUSDT,1624.97,1649.84,1607.8,1648.29,185653.4665,1601.025,,,,1312.39,6.897e-05
2022-11-04 21:00:00,BINANCE:ETHUSDT,1648.28,1654.77,1639.84,1644.78,72906.7284,1601.025,,,,1274.35,6.897e-05
2022-11-05 01:00:00,BINANCE:ETHUSDT,1644.78,1666.97,1635.15,1646.75,95282.3612,1602.0549999999998,,,,1220.04,5.496666666666666e-05
2022-11-05 05:00:00,BINANCE:ETHUSDT,1646.76,1658.72,1643.58,1651.36,43209.2618,1602.0549999999998,,,,1163.02,5.496666666666666e-05
2022-11-05 09:00:00,BINANCE:ETHUSDT,1651.37,1651.9,1636.47,1649.58,57559.3833,1604.2,,,,1195.47,5.496666666666666e-05
2022-11-05 13:00:00,BINANCE:ETHUSDT,1649.58,1650.23,1623.53,1635.87,64576.5414,1613.2649999999999,,,,1102.73,5.496666666666666e-05
2022-11-05 17:00:00,BINANCE:ETHUSDT,1635.87,1642.91,1624.89,1633.24,50814.2919,1618.1,,,,1174.16,5.496666666666666e-05
2022-11-05 21:00:00,BINANCE:ETHUSDT,1633.24,1635.22,1621.42,1626.98,39943.6966,1618.1,,,,1189.72,5.496666666666666e-05
2022-11-06 01:00:00,BINANCE:ETHUSDT,1626.98,1633.51,1612.3,1621.24,59304.613,1637.385,,,,1187.04,7.346666666666666e-05
2022-11-06 05:00:00,BINANCE:ETHUSDT,1621.23,1623.77,1613.95,1622.88,33627.1912,1639.635,,,,1321.61,7.346666666666666e-05
2022-11-06 09:00:00,BINANCE:ETHUSDT,1622.88,1639.02,1608.84,1620.35,64606.0226,1637.905,,,,1292.31,7.346666666666666e-05
2022-11-06 13:00:00,BINANCE:ETHUSDT,1620.34,1634.96,1615.81,1623.77,47048.1681,1633.78,,,,1299.28,7.346666666666666e-05
2022-11-06 17:00:00,BINANCE:ETHUSDT,1623.77,1625.93,1603.25,1610.41,80682.2351,1627.575,1591.1599999999999,,,1239.11,7.346666666666666e-05
2022-11-06 21:00:00,BINANCE:ETHUSDT,1610.41,1612.91,1564.39,1568.29,129595.7225,1607.31,1591.1599999999999,,,1278.33,7.346666666666666e-05
2022-11-07 01:00:00,BINANCE:ETHUSDT,1568.25,1595.3,1564.21,1587.5,99273.2403,1603.56,1591.1599999999999,,,1275.85,4.107333333333333e-05
2022-11-07 05:00:00,BINANCE:ETHUSDT,1587.5,1594.63,1546.3,1550.01,121788.7885,1592.6599999999999,1597.585,,,1260.18,4.107333333333333e-05
2022-11-07 09:00:00,BINANCE:ETHUSDT,1550.0,1584.56,1546.29,1580.0,112526.3751,1592.655,1601.025,,,1274.04,4.107333333333333e-05
