timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,prev_close,ma_7,ma_25,ma_100,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,fundingRate
2022-06-25 04:00:00,1223.76,1239.63,1210.68,1234.4,133910.458,1656143999999,163953382.939179,127115,71790.8053,87903293.894833,0,1223.76,1207.687142857143,1136.4256,1265.8243,1182.7150000000001,1144.54,1060.05,1214.28,1114.26,-4.333333333333312e-07
2022-06-25 08:00:00,1234.41,1242.3,1213.0,1217.16,108027.8191,1656158399999,132614491.264515,110290,51789.7903,63593536.190189,0,1234.4,1217.467142857143,1139.1696,1260.0895,1188.7150000000001,1144.54,1066.1399999999999,1214.28,1117.95,-4.333333333333312e-07
2022-06-25 12:00:00,1217.16,1219.6,1181.83,1183.94,196706.6969,1656172799999,235532994.257236,182448,96819.0588,115944160.132677,0,1217.16,1215.7571428571428,1140.8716,1254.0101,1188.7150000000001,1144.54,1068.6399999999999,1207.02,1100.21,-4.333333333333312e-07
2022-06-25 16:00:00,1183.94,1214.57,1180.0,1205.57,119985.9092,1656187199999,143801157.527703,118780,62895.8163,75411323.844731,0,1183.94,1216.8414285714284,1142.3692,1248.0727,1194.2,1144.54,1072.525,1185.135,1093.93,-4.333333333333312e-07
2022-06-25 20:00:00,1205.57,1256.77,1201.45,1242.36,176584.6315,1656201599999,218261151.389025,158172,90425.1486,111678101.269882,0,1205.57,1218.887142857143,1147.0864000000001,1242.3764,1218.385,1150.21,1082.4450000000002,1168.28,1057.42,-4.333333333333312e-07
2022-06-26 00:00:00,1242.31,1245.9,1227.43,1233.28,82557.9762,1656215999999,102048758.80926,89174,41506.6032,51296464.13809,0,1242.36,1220.0671428571427,1151.3836000000001,1236.6577,1218.385,1150.21,1086.5875,1134.44,1018.49,1.4383333333333335e-05
2022-06-26 04:00:00,1233.28,1252.0,1232.42,1238.07,99453.339,1656230399999,123474560.148897,93590,50348.3938,62514454.195198,0,1233.28,1222.1114285714284,1157.3344,1231.0448999999999,1218.385,1150.21,1088.165,1085.255,1032.22,1.4383333333333335e-05
2022-06-26 08:00:00,1238.06,1277.0,1235.6,1269.72,168322.9861,1656244799999,210937364.065618,139406,88229.6038,110662550.667396,0,1238.07,1227.1571428571428,1165.1136,1225.9047,1228.5,1160.325,1088.165,1082.945,1020.86,1.4383333333333335e-05
2022-06-26 12:00:00,1269.72,1280.0,1211.86,1223.39,248261.9584,1656259199999,308472838.481946,218666,113898.2646,141542448.132075,0,1269.72,1228.047142857143,1170.156,1220.2505,1230.0,1161.825,1084.04,1082.945,1071.01,1.4383333333333335e-05
2022-06-26 16:00:00,1223.39,1233.42,1210.12,1226.11,101232.224,1656273599999,123737428.351751,107471,49962.4089,61069896.310795,0,1223.39,1234.0714285714287,1176.1996000000001,1214.5867,1230.0,1161.825,1084.04,1082.945,1054.52,1.4383333333333335e-05
2022-06-26 20:00:00,1226.11,1249.93,1194.6,1197.79,184355.7893,1656287999999,225396775.596003,164436,93994.9821,115092302.567439,0,1226.11,1232.9599999999998,1181.2823999999998,1208.6783,1230.0,1161.825,1084.04,1075.005,1066.81,1.4383333333333335e-05
2022-06-27 00:00:00,1197.79,1226.7,1195.82,1219.91,154834.4399,1656302399999,187616869.255871,133205,76960.1255,93269063.754044,0,1197.79,1229.7528571428572,1188.0711999999999,1203.1583,1230.0,1161.825,1080.905,1075.005,1050.22,-6.060333333333333e-05
2022-06-27 04:00:00,1219.92,1237.0,1212.71,1227.66,106477.9743,1656316799999,130120449.902478,94605,51839.3532,63363703.519804,0,1219.91,1228.95,1194.1216,1198.1639,1237.3,1162.65,1078.3025,1075.005,1056.86,-6.060333333333333e-05
2022-06-27 08:00:00,1227.66,1238.93,1217.32,1220.01,96090.4165,1656331199999,118197380.244974,100227,47708.4392,58689883.861184,0,1227.66,1226.3700000000001,1199.2540000000001,1193.674,1237.3,1176.075,1073.5675,1075.005,1067.91,-6.060333333333333e-05
2022-06-27 12:00:00,1220.01,1223.91,1175.0,1187.48,264741.8819,1656345599999,316187580.633038,228209,121230.845,144772221.103513,0,1220.01,1214.6214285714286,1202.4896,1188.9197,1227.5,1181.3899999999999,1078.6675,1075.005,1059.73,-6.060333333333333e-05
2022-06-27 16:00:00,1187.49,1211.32,1172.49,1196.69,139693.1538,1656359999999,166666167.599921,135748,71501.6805,85323106.871331,0,1187.48,1210.8071428571427,1206.5883999999999,1184.1903000000002,1226.245,1181.3899999999999,1075.2825,1069.705,1038.0,-6.060333333333333e-05
2022-06-27 20:00:00,1196.7,1219.0,1189.24,1192.51,106896.3397,1656374399999,128618670.24139,102163,51543.0009,62055519.394483,0,1196.69,1206.0071428571428,1209.2228,1179.4408,1226.245,1181.3899999999999,1080.625,1069.705,1042.08,-6.060333333333333e-05
2022-06-28 00:00:00,1192.51,1199.64,1162.16,1181.94,179342.6295,1656388799999,211579257.602241,145451,88465.9393,104376418.562624,0,1192.51,1203.7428571428572,1210.7116,1175.5006,1206.045,1200.0,1096.96,1069.705,1043.78,1.6056666666666668e-05
2022-06-28 04:00:00,1181.94,1214.63,1179.14,1207.65,126416.8018,1656403199999,151383399.873184,106649,65736.8075,78711787.883489,0,1181.94,1201.9914285714287,1213.002,1172.4011,1206.045,1206.0,1108.9125,1069.705,1052.89,1.6056666666666668e-05
2022-06-28 08:00:00,1207.66,1233.82,1203.92,1223.48,178396.8091,1656417599999,218035087.54499,152322,92015.3378,112476302.437545,0,1207.65,1201.3942857142858,1215.9932000000001,1169.1711000000003,1200.545,1206.0,1112.4250000000002,1069.705,1066.04,1.6056666666666668e-05
2022-06-28 12:00:00,1223.48,1237.99,1182.0,1183.69,248894.2151,1656431999999,301788833.827306,216541,120084.523,145686583.368452,0,1223.48,1196.2057142857143,1215.5044,1165.6790999999998,1200.545,1211.4850000000001,1112.4250000000002,1069.705,1067.01,1.6056666666666668e-05
2022-06-28 16:00:00,1183.7,1193.73,1151.22,1156.23,233015.0677,1656446399999,272870453.455499,202770,102256.6468,119773973.247164,0,1183.69,1191.7414285714287,1213.8344,1162.5717000000002,1195.075,1215.6100000000001,1124.9975,1069.705,1062.45,1.6056666666666668e-05
