datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,fundingRate
2017-08-17 02:00:00,BINANCE:BTCUSDT,4261.48,4485.39,4200.74,4285.08,795.150377,,,,,4163.72,0.0
2017-08-18 02:00:00,BINANCE:BTCUSDT,4285.08,4371.52,3938.77,4108.37,1199.888264,,,,,3944.69,0.0
2017-08-19 02:00:00,BINANCE:BTCUSDT,4108.37,4184.69,3850.0,4139.98,381.309763,,,,,3189.02,0.0
2017-08-20 02:00:00,BINANCE:BTCUSDT,4120.98,4211.08,4032.62,4086.29,467.083022,,,,,3700.0,0.0
2017-08-21 02:00:00,BINANCE:BTCUSDT,4069.13,4119.62,3911.79,4016.0,691.74306,,,,,3714.95,0.0
2017-08-22 02:00:00,BINANCE:BTCUSDT,4016.0,4104.82,3400.0,4040.0,966.684858,,,,,3699.99,0.0
2017-08-23 02:00:00,BINANCE:BTCUSDT,4040.0,4265.8,4013.89,4114.01,1001.136565,,,,,4035.01,0.0
2017-08-24 02:00:00,BINANCE:BTCUSDT,4147.0,4371.68,4085.01,4316.01,787.418753,,,,,3910.04,0.0
2017-08-25 02:00:00,BINANCE:BTCUSDT,4316.01,4453.91,4247.48,4280.68,573.61274,3942.695,,,,3900.0,0.0
2017-08-26 02:00:00,BINANCE:BTCUSDT,4280.71,4367.0,4212.41,4337.44,228.108068,3926.955,,,,3609.99,0.0
2017-08-27 02:00:00,BINANCE:BTCUSDT,4332.51,4400.0,4285.54,4310.01,350.692585,3926.955,,,,3595.87,0.0
2017-08-28 02:00:00,BINANCE:BTCUSDT,4310.01,4399.82,4124.54,4386.69,603.841616,3926.955,,,,3780.0,0.0
2017-08-29 02:00:00,BINANCE:BTCUSDT,4353.65,4625.85,4313.55,4587.48,603.545028,4012.925,,,,3660.02,0.0
2017-08-30 02:00:00,BINANCE:BTCUSDT,4564.52,4647.51,4416.01,4555.14,808.468771,4023.755,,,,3920.75,0.0
2017-08-31 02:00:00,BINANCE:BTCUSDT,4555.14,4745.42,4555.14,4724.89,556.956802,4379.655,,,,3882.35,0.0
2017-09-01 02:00:00,BINANCE:BTCUSDT,4689.89,4885.55,4654.88,4834.91,560.666366,4485.280000000001,,,,4193.0,0.0
2017-09-02 02:00:00,BINANCE:BTCUSDT,4796.16,4939.19,4286.87,4472.14,929.148595,4531.865,,,,4174.5,0.0
